Symbol,Name,Avg Daily Share Volume (3mo),AUM
XLY,Consumer Discretionary Select Sector SPDR Fund,"4,206,044","$20,136,300.00 "
VGK,Vanguard FTSE Europe ETF,"4,081,284","$17,587,400.00 "
SCO,ProShares UltraShort Bloomberg Crude Oil,"4,006,195","$72,307.60 "
EWY,iShares MSCI South Korea ETF,"3,957,567","$7,022,620.00 "
SPLV,Invesco S&P 500® Low Volatility ETF,"3,943,194","$8,194,750.00 "
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"3,879,563","$45,129,100.00 "
EWT,iShares MSCI Taiwan ETF,"3,819,742","$7,104,630.00 "
EZU,iShares MSCI EMU ETF,"3,818,417","$5,903,070.00 "
PGX,Invesco Preferred ETF,"3,807,081","$6,999,890.00 "
EWC,iShares MSCI Canada ETF,"3,745,427","$4,273,020.00 "
LABD,Direxion Daily S&P Biotech Bear 3x Shares,"3,743,863","$49,562.90 "
IBB,iShares Nasdaq Biotechnology ETF,"3,698,753","$9,664,400.00 "
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,"3,698,367","$5,425,400.00 "
EWU,iShares MSCI United Kingdom ETF,"3,691,691","$3,853,710.00 "
MCHI,iShares MSCI China ETF,"3,665,230","$6,750,530.00 "
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,"3,612,451","$87,191.10 "
USMV,iShares Edge MSCI Min Vol USA ETF,"3,598,714","$29,069,700.00 "
